"University","Domain","Status","TotalPosts","Detail"
"Badji Mokhtar official website","univ-annaba.dz","UNREACHABLE",,"The underlying connection was closed: Could not establish trust relationship for the SSL/TLS secure channel."
"University of Ahmed Draia","univ-adrar.edu.dz","UNREACHABLE",,"The operation has timed out."
"Djilali Bounaama University","univ-dbkm.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"Belhadj Bouchaib University Centre","cuniv-aintemouchent.dz","UNREACHABLE",,"The remote name could not be resolved: 'cuniv-aintemouchent.dz'"
"USTHB","usthb.dz","UNREACHABLE",,"The remote name could not be resolved: 'usthb.dz'"
"University of Algiers 1 (Benyoucef Benkhedda)","univ-alger.dz","UNREACHABLE",,"The remote name could not be resolved: 'univ-alger.dz'"
"Batna 2 University (Mostefa Ben Boulaid)","univ-batna2.dz","UNREACHABLE",,"The operation has timed out."
"Batna 1 University (Hadj Lakhdar)","univ-batna.dz","UNREACHABLE",,"The remote name could not be resolved: 'univ-batna.dz'"
"University Tahri Mohamed","univ-bechar.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"University of Bejaia (Abderrahmane Mira)","univ-bejaia.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"University of Biskra (Mohamed Khider)","univ-biskra.dz","UNREACHABLE",,"The remote server returned an error: (403) Forbidden."
"Blida 1 University (Saad Dahlab)","univ-blida.dz","UNREACHABLE",,"The remote server returned an error: (401) Unauthorized."
"University of Bordj Bou Arreridj","univ-bba.dz","UNREACHABLE",,"The operation has timed out."
"University of Boumerdes (Mhamed Bougara)","univ-boumerdes.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"University of Chlef (Hassiba Benbouali)","univ-chlef.dz","UNREACHABLE",,"The remote name could not be resolved: 'univ-chlef.dz'"
"Constantine 2 University (Abdelhamid Mehri)","univ-constantine2.dz","NOT_WORDPRESS",,""
"Constantine 1 University (Mentouri)","umc.edu.dz","UNREACHABLE",,"The underlying connection was closed: Could not establish trust relationship for the SSL/TLS secure channel."
"University of Mila","univ-mila.dz","UNREACHABLE",,"The remote name could not be resolved: 'univ-mila.dz'"
"Ziane Achour University","univ-djelfa.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"University of El Oued (Echahid Hamma Lakhdar)","univ-eloued.dz","WORDPRESS","2422","جامعة الشهيد حمه لخضر بالوادي"
"University of El Taref (Chadli Bendjedid)","univ-eltarf.dz","UNREACHABLE",,"The operation has timed out."
"University of Guelma (8 Mai 1945)","univ-guelma.dz","UNREACHABLE",,"The underlying connection was closed: Could not establish trust relationship for the SSL/TLS secure channel."
"University Mohamed Seddik Ben Yahia","univ-jijel.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"Abbes Laghrour University","univ-khenchela.dz","WORDPRESS","17785","جامعة عباس لغرور خنشلة"
"University of Laghouat (Amar Telidji)","lagh-univ.dz","WORDPRESS","2186","جامعة عمار ثليجي الأغواط"
"University of Mascara (Mustapha Stambouli)","univmascaradz.com","UNREACHABLE",,"The remote name could not be resolved: 'univmascaradz.com'"
"University of Mostaganem","univ-mosta.dz","UNREACHABLE",,"Unable to connect to the remote server"
"University of MSila (Mohamed Boudiaf)","univ-msila.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"USTO (Mohamed Boudiaf)","univ-usto.dz","WORDPRESS","1443",""
"University of Oran 2 (Mohamed Ben Ahmed)","univ-oran2.dz","NOT_WORDPRESS",,""
"University of Oran 1 (Ahmed Ben Bella)","univ-oran1.dz","WORDPRESS","1420","Université Ahmed Ben Bella"
"University Kasdi Merbah","univ-ouargla.dz","WORDPRESS","110","univ-ouargla.dz"
"Larbi Ben Mhidi University","univ-oeb.dz","UNREACHABLE",,"The remote name could not be resolved: 'univ-oeb.dz'"
"University Dr Tahar Moulay","univ-saida.dz","UNREACHABLE",,"The operation has timed out."
"Setif 1 University (Ferhat Abbas)","univ-setif.dz","UNREACHABLE",,"The underlying connection was closed: Could not establish trust relationship for the SSL/TLS secure channel."
"Djillali Liabes University","univ-sba.dz","WORDPRESS","2792","جامعة جيلالي ليابس سيدي بلعباس"
"University of Skikda (20 Aout 1955)","univ-skikda.dz","UNREACHABLE",,"The operation has timed out."
"University Mohamed Cherif Messaadia","univ-soukahras.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
"University Ibn Khaldoun","univ-tiaret.dz","UNREACHABLE",,"The remote name could not be resolved: 'univ-tiaret.dz'"
"Mouloud Mammeri University","ummto.dz","UNREACHABLE",,"The remote server returned an error: (403) Forbidden."
"University Abou Bekr Belkaid","univ-tlemcen.dz","UNREACHABLE",,"The remote server returned an error: (404) Not Found."
